MCSID	FACTRY00	FIMDSCON	FIMDINCN	FIMDEMPN	FIMDHDDN	FIMDESTN	FIMDCRIN	FIMDLEDN	FINRURUR
M17828D	4	3	4	3	6	3	7	1	1
M17830X	4	9	9	8	10	8	10	8	1
M17841A	4	7	6	7	9	5	5	5	2
M17843C	4	3	3	2	3	6	2	4	2
M17861E	4	3	3	3	5	2	5	3	1
M17868M	4	1	1	1	1	1	1	1	2
M17880H	4	9	9	7	8	7	9	7	2
M17897S	4	1	1	1	1	4	1	1	2
M17941D	4	7	6	7	9	7	10	7	1
M17959P	4	1	2	2	1	1	1	3	2
M17991P	4	1	1	1	1	1	1	2	2
M18005A	4	2	3	3	4	2	8	2	1
M18044H	4	5	6	5	4	9	3	3	2
M18051G	4	3	2	3	9	3	10	2	1
M18062K	4	2	1	2	3	1	3	5	2
M18072M	4	3	4	3	4	3	9	5	1
M18087U	4	3	4	3	6	3	7	1	1
M18089W	4	6	6	7	4	7	8	6	1
M18101Z	4	4	4	5	2	9	1	3	2
M18111B	4	8	9	9	4	10	1	5	2
M18114E	4	8	8	6	5	10	7	9	2
M18124G	4	2	2	2	3	2	6	4	2
M18150J	4	3	3	3	5	2	5	3	1
M18203E	4	5	4	6	7	5	5	5	1
M18215J	4	8	8	8	9	7	10	9	1
M18218M	4	2	1	3	4	2	3	3	2
M18285Y	4	5	5	7	7	5	10	4	1
M18295A	4	2	3	3	4	2	8	2	1
M18328S	4	4	4	4	6	4	5	5	2
M18386C	4	8	8	6	5	10	7	9	2
M18419U	4	5	4	6	7	5	5	5	1
M18428V	4	5	5	4	7	3	5	6	2
M18429W	4	1	1	2	1	1	6	1	2
M18433S	4	3	3	4	10	2	9	3	1
M18434T	4	2	2	4	5	4	10	1	1
M18439Y	4	3	3	2	4	2	5	4	2
M18463Y	4	5	4	6	7	5	5	5	1
M18505R	4	1	1	1	1	1	3	1	2
M18524U	4	7	7	8	6	5	5	6	2
M18529Z	4	3	2	4	5	3	5	3	1
M18532U	4	3	3	2	4	2	5	4	2
M18541V	4	2	1	2	3	1	3	5	2
M18560Y	4	8	8	8	9	7	10	9	1
M18573D	4	2	2	2	2	3	1	2	2
M18591F	4	3	4	4	2	4	5	2	2
M18626Z	4	4	3	3	4	6	10	6	1
M18658H	4	3	3	4	4	3	8	1	1
M18711V	4	4	3	4	9	4	10	6	1
M18717B	4	5	6	6	6	8	4	5	1
M18719D	4	2	1	1	2	2	4	2	2
M18723Z	4	3	2	4	6	3	6	6	2
M18727D	4	6	7	7	4	9	1	4	2
M18788S	4	1	1	1	1	2	4	1	2
M18828H	4	3	2	4	6	3	6	6	2
M18889W	4	2	1	3	1	2	2	1	2
M18912C	4	4	5	6	5	3	5	5	1
M18920C	4	3	3	4	10	2	9	3	1
M18940G	4	4	3	4	9	4	10	6	1
M18974S	4	10	10	10	10	9	6	10	2
M18996Y	4	6	8	7	10	5	10	6	1
M18997Z	4	10	10	10	10	9	7	10	1
M19001A	4	3	3	4	10	2	9	3	1
M19011C	4	8	8	9	10	7	9	6	1
M19024H	4	3	3	4	10	2	9	3	1
M19029N	4	9	9	9	6	10	7	7	2
M19054P	4	6	7	6	9	4	10	3	1
M19067U	4	8	9	8	8	7	10	4	1
M19090T	4	4	3	4	9	4	10	6	1
M19100C	4	1	2	1	1	3	2	2	2
M19108L	4	10	10	10	10	10	3	10	2
M19152Q	4	9	8	8	6	10	8	7	2
M19155T	4	1	1	1	1	2	4	2	2
M19167X	4	10	10	10	10	10	5	8	2
M19169Z	4	6	5	6	6	8	1	8	2
M19197D	4	3	3	3	3	1	4	3	2
M19221L	4	5	5	5	5	4	1	5	2
M19226R	4	2	1	3	4	2	3	3	2
M19267A	4	9	10	9	8	9	9	8	2
M19313P	4	6	7	5	8	7	9	7	1
M19318U	4	4	4	5	7	4	7	5	1
M19353X	4	2	2	2	3	1	4	2	2
M19355Z	4	1	2	2	3	2	8	1	1
M19369F	4	4	5	6	5	3	5	5	1
M19375D	4	10	10	10	9	10	10	10	2
M19378G	4	8	9	8	7	7	8	9	1
M19424V	4	1	1	1	1	2	4	1	2
