MCSID	FACTRY00	FISIMDSC	FISIMDIN	FISIMDEM	FISIMDHD	FISIMDES	FISIMDHO	FISIMDMG	FISRURUR
M28129S	3	1	1	2	1	1	2	6	1
M28202J	3	1	1	1	2	1	2	6	1
M28204L	3	7	8	8	7	8	4	1	5
M28206N	3	1	1	1	1	1	1	7	2
M28218S	3	9	7	9	8	10	10	5	1
M28222N	3	10	10	9	8	10	10	7	1
M28229V	3	6	8	6	5	3	7	5	2
M28237V	3	10	10	9	10	10	9	6	1
M28248Y	3	6	6	6	6	6	1	10	1
M28280Y	3	10	9	10	10	10	10	3	1
M28281Z	3	8	10	9	7	4	9	3	1
M28300K	3	3	2	3	3	5	4	7	2
M28304P	3	6	6	6	8	8	4	3	6
M28322R	3	6	7	6	7	6	9	2	3
M28330R	3	9	8	7	9	7	8	6	2
M28357C	3	1	1	1	1	1	1	10	1
M28379J	3	2	2	3	2	2	2	3	1
M28392F	3	7	6	5	7	4	8	10	4
M28395J	3	3	3	2	3	3	4	10	1
M28398M	3	10	10	10	10	9	10	5	1
M28438C	3	3	3	3	2	4	5	8	2
M28446C	3	3	3	2	3	6	8	5	2
M28469K	3	8	7	7	6	7	7	9	2
M28486L	3	9	9	9	8	10	10	2	3
M28495M	3	5	4	8	8	4	8	2	2
M28497P	3	10	10	10	10	9	8	5	1
M28508Z	3	8	9	8	10	8	9	1	6
M28570F	3	10	10	10	10	10	9	7	1
M28572H	3	5	6	7	3	4	4	2	1
M28576M	3	4	3	4	8	8	5	2	6
M28584M	3	5	4	6	3	4	6	6	3
M28606A	3	3	4	2	3	4	5	5	1
M28614A	3	1	1	1	1	1	1	7	2
M28694S	3	9	10	9	10	10	10	2	2
M28711A	3	7	7	5	4	7	10	7	2
M28737L	3	4	3	4	3	5	3	8	1
M28772P	3	3	3	3	2	4	6	3	1
M28781Q	3	7	5	8	7	6	9	9	2
M28786V	3	8	9	10	10	8	5	1	5
M28796X	3	6	6	5	6	5	6	4	3
M28809K	3	7	6	6	6	9	8	7	3
M28826L	3	2	2	3	3	1	3	8	2
M28852N	3	4	4	4	5	6	2	7	1
M28890U	3	8	6	8	6	10	8	7	4
M28893X	3	7	10	4	10	9	9	2	5
M28895Z	3	4	4	4	5	4	5	2	1
M28940M	3	8	8	7	9	10	9	2	2
M28941N	3	3	2	3	3	5	4	7	2
M28944R	3	5	4	5	5	4	6	6	5
M28954T	3	7	8	9	7	8	9	2	5
M28986B	3	2	2	2	2	2	4	3	6
M29009P	3	8	7	7	7	10	7	5	1
M29045T	3	4	4	4	4	3	4	4	5
M29054U	3	8	10	9	7	8	6	2	2
M29066Y	3	10	10	10	9	10	10	3	3
M29067Z	3	1	2	2	2	1	2	7	1
M29089F	3	7	7	6	7	7	6	5	6
M29091Z	3	4	3	4	8	3	7	5	6
M29124R	3	7	9	6	7	5	7	6	1
M29204Q	3	6	6	5	7	4	5	10	1
M29205R	3	7	8	6	6	8	9	4	2
M29208U	3	2	2	4	3	1	1	9	1
M29240U	3	3	3	3	3	2	3	7	1
M29260Y	3	7	8	6	7	8	8	4	5
M29344B	3	8	8	8	9	8	6	2	5
M29353C	3	3	4	3	2	4	2	9	1
M29356F	3	4	4	4	4	4	7	9	2
M29414Y	3	9	10	9	10	10	9	2	1
M29434C	3	6	5	6	6	5	7	9	4
M29469P	3	10	8	10	10	10	9	5	2
M29470G	3	4	3	4	4	3	3	8	3
M29519G	3	7	6	7	6	10	9	4	5
M29528H	3	3	3	3	4	3	3	8	2
M29529J	3	6	6	6	5	4	2	7	1
M29556M	3	5	6	4	5	5	8	3	2
M29569S	3	3	2	3	2	4	2	8	1
M29607F	3	1	1	1	1	1	1	10	1
M29611B	3	9	9	9	10	9	10	1	3
M29619K	3	4	4	4	5	4	5	2	1
M29633H	3	8	7	9	10	8	10	2	2
M29641H	3	2	3	2	2	3	1	8	1
M29719N	3	8	9	8	8	8	9	3	1
M29722H	3	8	9	9	10	9	7	1	5
M29792X	3	9	8	7	8	9	9	9	2
M29831M	3	9	8	8	8	9	7	5	1
M29845T	3	10	10	10	9	9	10	6	1
M29860S	3	9	10	9	8	10	10	2	2
M29880W	3	2	3	2	3	1	3	6	1
M29888E	3	3	3	3	4	2	3	3	5
M29905N	3	5	5	5	4	3	3	8	5
M29954X	3	6	6	7	6	7	7	1	5
M29967C	3	10	10	10	8	10	10	4	2
M29979G	3	10	10	9	10	10	10	2	1
M29980Z	3	5	6	4	4	5	2	5	1
M30008F	3	1	1	2	1	1	2	7	1
M30027J	3	3	3	4	3	5	3	2	3
