MCSID	FACTRY00	FAREGN00	FDRSPO00	FDMINT00	FDPINT00	FDHTYP00	FDHTYS00	FDRELP00	FDNATM00	FDMINH00	FDNATF00	FDFINH00	FDOTHS00	FDNOCM00	FDTOTS00	FDNSIB00	FDHSIB00	FDSSIB00	FDASIB00	FDFSIB00	FDGPAR00	FDOTHA00	FDNUMH00	FDTOTP00	FDHLAN00	FDROOW00	FDCWRK00	FOEDE000	FOEDP000	FOECDUK0	FOECDSC0
M21178X	1	7	1	1	4	15	2	-1	1	1	4	2	1	1	2	1	2	2	2	2	2	2	2	3	1	2	5	284.51	0	2	2
M21182T	1	3	8	2	4	1	1	1	1	1	1	1	4	1	5	1	2	2	2	2	1	2	7	8	4	-1	3	180.82	1	1	1
M21183U	1	9	2	1	1	1	1	2	1	1	1	1	0	1	1	2	2	2	2	2	2	2	2	3	1	4	1	335.89	0	3	3
M21184V	4	12	1	1	4	16	2	-1	3	3	1	1	1	1	2	1	2	2	2	2	2	2	2	3	1	1	5	461.03	0	4	5
M21188Z	1	3	4	1	4	3	1	2	1	1	4	2	0	1	1	2	2	2	2	2	2	1	2	3	1	4	2	216.85	1	1	1
M21189A	1	7	2	1	1	1	1	1	1	1	1	1	5	1	6	1	2	2	2	2	2	2	7	8	4	5	3	143.56	1	1	1
M21191U	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	2	2	2	3	4	1	4	4	208.73	1	1	1
M21192V	4	12	2	1	1	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	4	5	1	2	3	321.42	0	3	3
M21195Y	3	11	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	1	1	594.58	0	5	5
M21196Z	1	7	1	1	4	15	2	-1	1	1	3	3	4	1	5	1	2	2	2	2	2	2	5	6	4	4	6	269.84	1	2	2
M21197A	1	7	2	1	1	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	4	5	4	2	1	626.07	0	5	5
M21200C	2	10	1	1	4	16	2	-1	3	3	1	1	1	1	2	1	2	2	2	2	2	2	2	3	1	4	6	273.35	1	2	2
M21203F	3	11	2	1	1	1	1	1	1	1	1	1	4	1	5	1	2	2	2	2	2	2	7	8	1	2	4	240.63	1	2	1
M21204G	1	3	2	1	1	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	4	5	1	2	1	388.07	0	3	3
M21206J	1	5	4	1	4	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	690.92	0	5	5
M21207K	1	9	7	2	4	15	2	-1	1	1	4	2	1	1	2	2	1	2	2	2	2	2	2	3	1	-1	6	239.21	1	2	2
M21209M	1	5	1	1	4	15	2	-1	1	1	4	2	1	1	2	1	2	2	2	2	2	2	2	3	1	2	5	406.09	0	3	3
