MCSID	GCNUM00	GCCHIC100	GCNAEX00	GCNAEG1	GCNAEG2	GCNAEG3	GCNAAS0A	GCNAAS0B	GCNAAS0C	GCNAAS0D	GCNAAS0E	GCNAAS0F	GCNAAS0G	GCNAAS0H	GCNAAS0I	GCNAAS0J
M10916Y	1	1	6	2	1	4	3	1	3	4	1	5	4	4	2	3
M10917Z	1	1	5	2	5	3	3	2	3	3	6	2	2	4	2	3
M10918A	1	1	5	2	1	4	5	2	3	4	2	5	3	1	3	1
M10923X	1	1	5	2	1	4	5	1	3	4	4	5	4	6	6	6
M10925Z	1	1	5	2	1	4	5	1	3	6	3	2	3	4	5	2
M10926A	1	1	5	2	1	4	5	1	3	4	1	5	4	6	5	6
M10927B	1	1	5	2	1	4	5	1	3	4	3	5	4	4	3	3
M10928C	1	1	5	2	1	4	1	1	3	5	1	3	4	4	3	4
M10929D	1	1	5	2	1	3	4	5	4	4	4	5	2	1	3	3
M10930W	1	1	5	2	1	4	5	6	3	3	6	2	4	4	1	5
M10931X	1	1	5	2	1	4	5	1	3	5	1	5	4	4	6	6
M10935B	1	1	5	2	1	4	5	1	2	2	3	5	4	3	4	5
M10947F	1	1	5	2	5	1	3	1	3	4	3	5	1	5	2	3
M10952C	1	1	5	2	1	4	5	3	5	1	5	4	5	4	5	5
M10954E	1	1	5	2	1	4	5	1	3	4	1	5	4	4	2	5
M10963F	1	1	5	2	1	3	5	1	5	3	2	5	5	4	5	2
M10967K	1	1	5	2	1	4	5	1	3	4	3	3	6	6	6	6
M10972G	1	1	5	2	1	4	5	1	3	4	1	5	2	6	6	6
M10973H	1	1	5	2	1	4	5	1	3	4	1	5	6	6	6	6
M10974J	1	1	5	2	1	4	5	2	3	4	1	5	4	3	1	2
M10975K	1	1	5	2	1	4	2	3	1	1	4	3	3	4	5	5
M10978N	1	1	5	2	1	5	5	5	5	3	1	5	3	4	4	3
M10979P	1	1	2	2	2	4	5	3	5	1	6	6	6	6	6	6
M10980G	1	1	5	2	1	3	5	1	3	4	1	6	6	6	6	6
M10981H	1	1	5	2	1	4	5	1	3	2	1	5	2	3	4	1
M10984L	1	1	5	2	1	4	5	1	3	4	6	5	4	4	3	6
M10987P	1	1	5	2	1	4	2	2	3	6	2	3	5	4	5	3
M10989R	1	1	5	2	1	4	5	1	3	5	1	5	4	5	5	6
M10991K	1	1	5	2	1	4	5	1	3	4	1	5	4	3	2	1
M10992L	1	1	5	2	1	4	5	1	3	4	1	4	2	1	2	4
M10993M	1	1	5	2	1	4	4	3	3	4	2	5	4	4	6	6
M10996Q	1	1	5	2	1	4	5	1	3	4	1	5	6	6	6	6
M10998S	1	1	5	2	1	4	5	1	3	4	1	5	4	6	2	3
M11001S	1	1	5	2	1	4	5	1	3	4	1	5	4	4	6	6
M11004V	1	1	5	2	1	4	5	1	3	4	6	5	6	6	6	6
M11005W	1	1	5	2	1	4	5	3	3	3	4	5	5	5	3	1
M11006X	1	1	3	3	1	4	3	3	2	6	3	3	6	6	3	6
M11008Z	1	1	5	2	5	3	5	2	4	1	2	3	1	4	3	5
M11019C	1	1	5	2	1	4	5	1	3	4	3	6	6	6	6	6
M11025A	1	1	5	2	1	4	5	4	5	2	4	3	3	3	4	1
M11027C	1	1	5	2	1	4	5	1	3	5	4	5	4	4	2	5
M11030X	1	1	5	2	1	4	5	1	3	4	1	5	4	5	3	2
